feature,importance,importance_pct
ln_built_context_5km,35.36424432701332,35.36424432701331
ln_pop_context_5km,18.188995260246376,18.188995260246372
built_pct,14.480233417576452,14.48023341757645
ln_built,14.393720339604757,14.393720339604755
urban_context_5km,8.106639546828255,8.106639546828253
ln_pop,5.285817668494811,5.28581766849481
ln_nres,0.9390062456535077,0.9390062456535074
nres_share,0.7843232178543296,0.7843232178543295
smod_12,0.6603606751556053,0.6603606751556051
smod_22,0.5303936575381442,0.530393657538144
smod_13,0.47002153517627976,0.47002153517627965
smod_11,0.3805700932167722,0.38057009321677215
smod_30,0.16902260841519293,0.1690226084151929
smod_21,0.13348468030818403,0.13348468030818403
smod_23,0.11316672691801803,0.11316672691801802
